Timestamp,Sensor 1 Raw Value,Sensor 1 Voltage (V),Sensor 1 Resistance (Ohm),Sensor 1 Force (N),Sensor 2 Raw Value,Sensor 2 Voltage (V),Sensor 2 Resistance (Ohm),Sensor 2 Force (N),Sensor 3 Raw Value,Sensor 3 Voltage (V),Sensor 3 Resistance (Ohm),Sensor 3 Force (N),Total Grip Force (N)
12:35:00.057,67956.0000,2.6237,90567.8,1106.7,67956.0000,2.0475,144205.6,863.6,53030.0000,1.9072,162160.9,804.5,2774.8
12:35:00.943,49398.0000,2.6237,90567.8,1106.7,67956.0000,2.0432,144708.6,861.9,52921.0000,1.8383,171983.5,775.4,2744.0
12:35:01.828,47614.0000,2.6025,92122.7,1097.8,67406.0000,2.0271,146652.1,855.1,52504.0000,0.9251,440493.4,390.2,2343.0
12:35:02.714,23960.0000,2.5775,93984.7,1087.2,66759.0000,2.0246,146962.6,854.0,52438.0000,1.7887,179539.4,754.5,2695.7
12:35:03.599,46327.0000,2.5534,95815.0,1077.1,66135.0000,2.0346,145744.1,858.2,52698.0000,0.4581,991464.2,193.2,2128.5
12:35:04.485,11865.0000,2.5481,96224.4,1074.8,65997.0000,1.9621,154830.3,827.6,50819.0000,0.2279,2093837.5,96.1,1998.6
12:35:05.372,5903.0000,2.7283,83267.4,1150.8,70663.0000,1.9826,152195.2,836.3,51350.0000,0.2480,1916226.5,104.6,2091.7
12:35:06.258,6423.0000,3.2972,51643.7,1390.8,85399.0000,2.0066,149176.9,846.4,51972.0000,0.2717,1740304.5,114.6,2351.8
12:35:07.144,7037.0000,3.3903,47478.4,1430.1,87811.0000,2.0167,147927.1,850.7,52234.0000,0.2937,1602184.9,123.9,2404.7
12:35:08.030,7608.0000,3.4804,43663.1,1468.1,90143.0000,2.6739,86990.6,1127.9,69256.0000,0.3216,1454648.6,135.7,2731.6
12:35:08.915,8330.0000,3.7411,33650.7,1578.0,96896.0000,2.8923,72874.8,1220.0,74911.0000,1.7547,184952.2,740.1,3538.2
12:35:09.800,45447.0000,3.8592,29560.5,1899.4,99955.0000,2.9706,68318.1,1253.0,76939.0000,2.8166,77517.0,1188.1,4340.5
12:35:10.686,72952.0000,3.9529,26488.0,2869.3,102383.0000,3.1417,59148.4,1325.2,81372.0000,3.0066,66299.3,1268.2,5462.8
12:35:11.575,77873.0000,4.0041,24870.8,3594.4,103709.0000,3.2838,52262.4,1385.1,85052.0000,3.2440,54132.6,1368.3,6347.9
12:35:12.461,84020.0000,4.0431,23667.6,4266.6,104718.0000,3.3974,47170.0,1433.1,87995.0000,3.3832,47788.0,1427.1,7126.7
12:35:13.346,87627.0000,4.0717,22798.6,4839.0,105459.0000,3.4877,43360.9,1471.1,90333.0000,3.4783,43747.6,1467.2,7777.3
12:35:14.232,90090.0000,4.0904,22237.6,5253.8,105943.0000,3.5663,40199.4,1504.3,92370.0000,3.5567,40581.4,1500.2,8258.3
12:35:15.117,92119.0000,4.1012,21915.4,5509.7,106223.0000,3.6272,37846.0,1530.0,93947.0000,3.7214,34359.3,1569.7,8609.5
12:35:16.002,96385.0000,4.1081,21711.5,5678.9,106401.0000,3.6741,36088.9,1549.8,95160.0000,3.9150,27714.2,2428.0,9656.7
12:35:16.888,101400.0000,4.1163,21469.5,5887.2,106613.0000,3.7216,34351.0,1569.8,96391.0000,3.9711,25911.2,3107.3,10564.4
12:35:17.774,102852.0000,4.1225,21285.2,6051.5,106775.0000,3.7456,33489.6,1579.9,97013.0000,4.0348,23923.2,4112.8,11744.3
12:35:18.660,104502.0000,4.1349,20921.6,6390.7,107096.0000,3.8001,31577.2,1464.1,98423.0000,4.0542,23328.4,4480.5,12335.4
12:35:19.545,105006.0000,4.1445,20642.3,6665.7,107344.0000,3.8441,30068.0,1777.7,99565.0000,4.0822,22483.9,5067.0,13510.4
12:35:20.430,105730.0000,4.1447,20635.5,6672.5,107350.0000,3.8838,28738.8,2116.9,100593.0000,4.0826,22471.2,5076.5,13865.9
12:35:21.316,105741.0000,4.1161,21474.0,5883.2,106609.0000,3.7748,32458.7,1309.9,97768.0000,4.0108,24662.8,3701.6,10894.8
12:35:22.203,103882.0000,4.1067,21751.5,5645.2,106366.0000,3.7784,32331.5,1331.0,97862.0000,4.0170,24469.9,3804.3,10780.5
12:35:23.092,104043.0000,4.1120,21594.9,5778.2,106503.0000,3.7805,32257.1,1343.5,97917.0000,4.0175,24454.4,3812.7,10934.4
12:35:23.977,104056.0000,4.1121,21592.6,5780.2,106505.0000,3.7795,32290.9,1337.8,97892.0000,4.0160,24502.2,3786.9,10904.8
12:35:24.863,104016.0000,4.1107,21633.7,5744.9,106469.0000,3.7840,32137.0,1364.0,98006.0000,4.0219,24319.4,3886.6,10995.5
12:35:25.748,104169.0000,4.1200,21357.9,5986.0,106711.0000,3.7877,32007.7,1386.4,98102.0000,4.0238,24262.1,3918.4,11290.9
12:35:26.634,104217.0000,4.1220,21299.9,6038.1,106762.0000,3.7885,31978.1,1391.6,98124.0000,4.0257,24202.5,3951.9,11381.6
12:35:27.520,104267.0000,4.0966,22052.2,5399.5,106104.0000,3.7889,31966.0,1393.7,98133.0000,4.0260,24193.0,3957.2,10750.4
12:35:28.407,104275.0000,4.1238,21248.8,6084.5,106807.0000,3.7902,31920.3,1401.8,98167.0000,4.0304,24058.5,4033.9,11520.2
12:35:29.293,104388.0000,4.1228,21276.1,6059.7,106783.0000,3.7905,31908.2,1404.0,98176.0000,4.0235,24269.2,3914.4,11378.1
12:35:30.178,104211.0000,4.1243,21232.9,6099.0,106821.0000,3.7909,31896.1,1406.1,98185.0000,4.0278,24135.8,3989.6,11494.7
12:35:31.064,104323.0000,4.1255,21198.9,6130.1,106851.0000,3.7928,31827.7,1418.3,98236.0000,4.0279,24134.6,3990.3,11538.8
12:35:31.949,104324.0000,4.1266,21164.9,6161.5,106881.0000,3.7926,31835.7,1416.9,98230.0000,4.0278,24138.2,3988.3,11566.6
12:35:32.835,104321.0000,4.1268,21159.2,6166.7,106886.0000,3.7930,31821.0,1419.6,98241.0000,4.0277,24141.8,3986.2,11572.5
12:35:33.721,104318.0000,4.1273,21143.3,6181.4,106900.0000,3.7940,31787.4,1425.6,98266.0000,4.0317,24018.1,4057.3,11664.3
12:35:34.609,104422.0000,4.1299,21069.7,6250.0,106965.0000,3.7951,31748.5,1432.6,98295.0000,4.0320,24007.5,4063.5,11746.2
12:35:35.495,104431.0000,4.1266,21166.0,6160.4,106880.0000,3.7934,31806.2,1422.2,98252.0000,4.0275,24146.5,3983.5,11566.2
12:35:36.380,104314.0000,4.1282,21117.3,6205.6,106923.0000,3.7928,31829.0,1418.1,98235.0000,4.0285,24116.8,4000.5,11624.2
12:35:37.266,104339.0000,4.1285,21108.2,6214.0,106931.0000,3.7931,31818.3,1420.0,98243.0000,4.0283,24120.4,3998.5,11632.5
12:35:38.151,104336.0000,4.1289,21098.0,6223.5,106940.0000,3.7922,31849.1,1414.5,98220.0000,4.0276,24144.2,3984.9,11622.9
12:35:39.037,104316.0000,4.1294,21082.2,6238.4,106954.0000,3.7907,31901.5,1405.2,98181.0000,4.0289,24102.5,4008.7,11652.2
12:35:39.923,104351.0000,4.1267,21162.6,6163.6,106883.0000,3.7930,31822.3,1419.3,98240.0000,4.0334,23965.9,4087.8,11670.6
12:35:40.808,104466.0000,4.1280,21124.1,6199.3,106917.0000,3.7938,31794.1,1424.4,98261.0000,4.0273,24151.3,3980.8,11604.5
12:35:41.693,104310.0000,4.1299,21067.5,6252.2,106967.0000,3.7954,31737.8,1434.6,98303.0000,4.0292,24093.0,4014.1,11700.9
12:35:42.579,104359.0000,4.1300,21066.3,6253.2,106968.0000,3.7964,31704.3,1440.7,98328.0000,4.0294,24089.4,4016.2,11710.1
12:35:43.464,104362.0000,4.1305,21051.6,6267.0,106981.0000,3.7967,31694.9,1442.4,98335.0000,4.0285,24116.8,4000.5,11709.9
12:35:44.349,104339.0000,4.1266,21163.7,6162.5,106882.0000,3.7934,31806.2,1422.2,98252.0000,4.0222,24308.6,3892.5,11477.3
12:35:45.235,104178.0000,4.1271,21151.3,6174.0,106893.0000,3.7934,31806.2,1422.2,98252.0000,4.0291,24096.6,4012.1,11608.3
12:35:46.124,104356.0000,4.1309,21038.0,6279.8,106993.0000,3.8019,31513.1,1476.1,98471.0000,4.0334,23963.5,4089.1,11845.1
12:35:47.013,104468.0000,4.1323,20998.5,6317.3,107028.0000,3.8022,31502.4,1478.1,98479.0000,4.0337,23956.4,4093.3,11888.7
12:35:47.899,104474.0000,4.1296,21077.6,6242.6,106958.0000,3.7983,31638.7,1452.7,98377.0000,4.0294,24087.1,4017.5,11712.9
12:35:48.784,104364.0000,4.1315,21021.1,6295.9,107008.0000,3.7990,31614.6,1457.2,98395.0000,4.0297,24077.6,4023.0,11776.0
12:35:49.671,104372.0000,4.1284,21111.6,6210.9,106928.0000,3.7978,31654.8,1449.8,98365.0000,4.0292,24093.0,4014.1,11674.8
12:35:50.555,104359.0000,4.1317,21016.5,6300.1,107012.0000,3.7978,31654.8,1449.8,98365.0000,4.0288,24104.9,4007.3,11757.2
12:35:51.441,104349.0000,4.1315,21021.1,6295.9,107008.0000,3.7982,31640.1,1452.5,98376.0000,4.0285,24115.6,4001.2,11749.5
12:35:52.328,104340.0000,4.1316,21019.9,6296.9,107009.0000,3.7981,31645.4,1451.5,98372.0000,4.0318,24014.6,4059.4,11807.8
12:35:53.216,104425.0000,4.1340,20947.6,6365.8,107073.0000,3.8024,31497.0,1479.1,98483.0000,4.0324,23994.4,4071.1,11916.0
12:35:54.102,104442.0000,4.1298,21070.9,6249.0,106964.0000,3.7957,31728.4,1436.3,98310.0000,4.0254,24212.0,3946.5,11631.7
12:35:54.988,104259.0000,4.1289,21096.9,6224.6,106941.0000,3.7939,31790.1,1425.1,98264.0000,4.0260,24194.2,3956.6,11606.3
12:35:55.873,104274.0000,4.1295,21079.9,6240.5,106956.0000,3.7944,31772.7,1428.3,98277.0000,4.0259,24195.4,3955.9,11624.6
12:35:56.758,104273.0000,4.1304,21052.7,6266.0,106980.0000,3.7939,31791.4,1424.9,98263.0000,4.0258,24198.9,3953.9,11644.7
12:35:57.644,104270.0000,4.1301,21061.8,6257.5,106972.0000,3.7924,31841.1,1415.9,98226.0000,4.0260,24193.0,3957.2,11630.6
12:35:58.528,104275.0000,4.1304,21052.7,6266.0,106980.0000,3.7933,31812.9,1421.0,98247.0000,4.0277,24139.4,3987.6,11674.6
12:35:59.414,0.0000,0.0001,6475011291.0,0.0,8.0000,0.0000,499999900000.0,0.0,97943.0000,4.0186,24422.1,3830.2,3830.3
12:36:00.299,104083.0000,4.1247,21220.4,6110.4,106832.0000,3.7866,32045.4,1379.8,98074.0000,4.0188,24414.9,3834.1,11324.3
12:36:01.185,104089.0000,4.1249,21215.9,6114.5,106836.0000,3.7873,32018.5,1384.5,98094.0000,4.0124,24613.6,3727.5,11226.6
12:36:02.071,103923.0000,4.1251,21208.0,6121.8,106843.0000,3.7885,31979.5,1391.4,98123.0000,4.0209,24351.6,3868.8,11382.0
12:36:02.956,104142.0000,4.1256,21193.2,6135.3,106856.0000,3.7885,31976.8,1391.8,98125.0000,4.0198,24383.8,3851.1,11378.3
12:36:03.842,104115.0000,4.1274,21142.2,6182.4,106901.0000,3.7939,31791.4,1424.9,98263.0000,4.0298,24076.4,4023.7,11631.0
12:36:04.728,104373.0000,4.1262,21176.2,6151.0,106871.0000,3.7942,31780.7,1426.8,98271.0000,4.0263,24182.3,3963.3,11541.1
12:36:05.613,104284.0000,4.1311,21032.4,6285.2,106998.0000,3.7939,31790.1,1425.1,98264.0000,4.0261,24188.2,3959.9,11670.2
12:36:06.499,104279.0000,4.1317,21016.5,6300.1,107012.0000,3.7951,31747.2,1432.9,98296.0000,4.0266,24173.9,3968.0,11701.0
12:36:07.384,104291.0000,4.1321,21005.2,6310.9,107022.0000,3.7955,31736.5,1434.8,98304.0000,4.0267,24171.5,3969.3,11715.0
12:36:08.269,104293.0000,4.1316,21018.8,6298.0,107010.0000,3.7956,31729.8,1436.0,98309.0000,4.0258,24197.7,3954.5,11688.6
12:36:09.154,104271.0000,4.1293,21086.7,6234.1,106950.0000,3.7946,31764.6,1429.7,98283.0000,4.0282,24123.9,3996.4,11660.3
12:36:10.040,104333.0000,4.1281,21120.7,6202.4,106920.0000,3.7961,31713.7,1439.0,98321.0000,4.0260,24191.8,3957.9,11599.3
12:36:10.926,104276.0000,4.1307,21043.7,6274.5,106988.0000,3.7997,31590.6,1461.6,98413.0000,4.0259,24195.4,3955.9,11692.0
12:36:11.812,104273.0000,4.1301,21061.8,6257.5,106972.0000,3.8000,31579.9,1463.6,98421.0000,4.0263,24182.3,3963.3,11684.4
12:36:12.697,104284.0000,4.1316,21017.7,6299.1,107011.0000,3.7990,31613.3,1457.4,98396.0000,4.0251,24221.6,3941.1,11697.6
12:36:13.583,104251.0000,4.1303,21057.3,6261.7,106976.0000,3.7978,31653.4,1450.0,98366.0000,4.0250,24222.8,3940.5,11652.2
12:36:14.469,104250.0000,4.1299,21069.7,6250.0,106965.0000,3.7927,31831.7,1417.6,98233.0000,4.0293,24090.6,4015.5,11683.1
12:36:15.358,104361.0000,4.1321,21003.0,6313.0,107024.0000,3.8002,31570.5,1465.4,98428.0000,4.0285,24114.4,4001.9,11780.2
12:36:16.243,104341.0000,4.1295,21081.0,6239.4,106955.0000,3.7957,31727.1,1436.5,98311.0000,4.0251,24220.4,3941.8,11617.8
12:36:17.129,104252.0000,4.1309,21039.2,6278.8,106992.0000,3.7939,31791.4,1424.9,98263.0000,4.0248,24228.7,3937.1,11640.7
12:36:18.015,104245.0000,4.1307,21043.7,6274.5,106988.0000,3.7953,31740.5,1434.1,98301.0000,4.0246,24235.9,3933.1,11641.7
12:36:18.900,104239.0000,4.1308,21042.6,6275.6,106989.0000,3.7944,31772.7,1428.3,98277.0000,4.0246,24237.1,3932.4,11636.3
12:36:19.786,104238.0000,4.1271,21151.3,6174.0,106893.0000,3.7937,31798.1,1423.7,98258.0000,4.0248,24228.7,3937.1,11534.8
12:36:20.673,104245.0000,4.1310,21035.8,6282.0,106995.0000,3.7944,31772.7,1428.3,98277.0000,4.0285,24115.6,4001.2,11711.4
