Timestamp,Sensor 1 Raw Value,Sensor 1 Voltage (V),Sensor 1 Resistance (Ohm),Sensor 1 Force (N),Sensor 2 Raw Value,Sensor 2 Voltage (V),Sensor 2 Resistance (Ohm),Sensor 2 Force (N),Sensor 3 Raw Value,Sensor 3 Voltage (V),Sensor 3 Resistance (Ohm),Sensor 3 Force (N),Total Grip Force (N)
16:42:52.274,77021.0000,3.0045,66416.8,1267.3,77818.0000,2.4785,101735.7,1045.5,64194.0000,2.9318,70543.5,1236.7,3549.4
16:42:53.160,75935.0000,2.9205,71201.9,1231.9,75643.0000,2.4871,101034.2,1049.1,64418.0000,2.9126,71667.1,1228.6,3509.6
16:42:54.045,75438.0000,2.9345,70384.2,1237.8,76006.0000,2.4971,100235.4,1053.3,64675.0000,2.9152,71517.0,1229.6,3520.8
16:42:54.930,75504.0000,2.8905,72983.3,1219.2,74864.0000,2.4866,101077.9,1048.9,64404.0000,2.9128,71658.0,1228.6,3496.7
16:42:55.816,75442.0000,2.8343,76409.5,1195.5,73410.0000,2.4801,101603.8,1046.1,64236.0000,2.9105,71790.1,1227.7,3469.4
16:42:56.701,75384.0000,2.8322,76539.4,1194.7,73356.0000,2.4806,101563.0,1046.3,64249.0000,2.9005,72386.9,1223.4,3464.5
16:42:57.591,75123.0000,2.6510,88611.0,1118.2,68661.0000,2.5288,97725.4,1066.7,65496.0000,2.9004,72389.2,1223.4,3408.3
16:42:58.478,75122.0000,2.7428,82297.4,1156.9,71039.0000,2.5520,95921.6,1076.5,66099.0000,2.9208,71183.8,1232.0,3465.4
16:42:59.364,75651.0000,2.9793,67822.9,1256.7,77166.0000,2.4956,100356.2,1052.7,64636.0000,2.8888,73085.0,1218.5,3527.9
16:43:00.248,74820.0000,3.0597,63415.9,1290.6,79247.0000,2.3811,109988.9,1004.4,61671.0000,2.9633,68728.1,1250.0,3544.9
16:43:01.134,76752.0000,3.1503,58715.4,1328.8,81594.0000,0.6351,687295.4,267.9,16449.0000,2.9917,67129.8,1261.9,2858.6
16:43:02.019,77486.0000,3.1316,59660.5,1321.0,81111.0000,0.7563,561130.4,319.0,19588.0000,3.0281,65122.4,1277.3,2917.2
16:43:02.905,78428.0000,3.1565,58402.8,1331.4,81755.0000,0.7644,554084.7,322.4,19799.0000,3.0055,66363.4,1267.7,2921.6
16:43:03.794,77843.0000,3.1766,57401.7,1339.9,82275.0000,0.8453,491523.4,356.5,21893.0000,3.0296,65038.3,1277.9,2974.4
16:43:04.680,78468.0000,3.1397,59250.2,1324.4,81320.0000,0.7814,539864.7,329.6,20239.0000,3.1631,58072.2,1334.2,2988.2
16:43:05.565,81926.0000,3.1741,57524.2,1338.9,82211.0000,0.9015,454613.4,380.3,23350.0000,3.2485,53918.3,1370.2,3089.4
16:43:06.450,84137.0000,3.3884,47564.1,1429.2,87760.0000,2.5532,95832.7,1077.0,66129.0000,3.3098,51067.0,1396.1,3902.3
16:43:07.335,85725.0000,3.6121,38425.1,1523.6,93554.0000,2.7947,78907.5,1178.8,72385.0000,3.3318,50071.0,1405.4,4107.8
16:43:08.220,86294.0000,3.7013,35088.1,1561.2,95865.0000,2.8470,75624.8,1200.9,73738.0000,3.3420,49611.5,1409.7,4171.8
16:43:09.106,86559.0000,3.6971,35241.9,1559.5,95756.0000,3.2585,53445.9,1374.5,84396.0000,3.2518,53762.9,1371.6,4305.5
16:43:09.992,84222.0000,3.7415,33637.0,1578.2,96906.0000,3.3011,51466.4,1392.4,85499.0000,3.3281,50238.1,1403.8,4374.4
16:43:10.878,86198.0000,3.7929,31826.3,1418.6,98237.0000,3.3953,47262.0,1432.2,87940.0000,3.4267,45913.1,1445.4,4296.2
16:43:11.764,88753.0000,3.8013,31533.1,1472.4,98456.0000,3.4427,45235.6,1452.2,89167.0000,3.4631,44379.0,1460.8,4385.3
16:43:12.651,89696.0000,3.8445,30057.6,1780.1,99573.0000,3.4701,44089.9,1463.7,89876.0000,3.5004,42840.7,1476.5,4720.3
16:43:13.537,90662.0000,3.9253,27380.1,2540.3,101666.0000,3.4915,43204.0,1472.8,90432.0000,3.5767,39793.8,1508.7,5521.7
16:43:14.422,92638.0000,3.9576,26338.7,2928.9,102504.0000,3.5123,42355.5,1481.5,90971.0000,3.6254,37916.5,1529.2,5939.7
16:43:15.311,93899.0000,3.9941,25184.6,3439.1,103449.0000,3.5770,39783.3,1508.8,92645.0000,3.6411,37319.8,1535.9,6483.7
16:43:16.198,94307.0000,4.0183,24429.2,3826.3,104077.0000,3.6118,38436.9,1523.5,93546.0000,3.6896,35517.9,1556.3,6906.1
16:43:17.083,95561.0000,4.0473,23537.8,4347.1,104828.0000,3.6685,36295.2,1547.4,95016.0000,3.7577,33060.3,1585.0,7479.5
16:43:17.968,97326.0000,4.0738,22734.6,4884.4,105514.0000,3.7137,34637.3,1566.5,96186.0000,3.8082,31295.7,1517.6,7968.5
16:43:18.853,98634.0000,4.0839,22432.9,5105.1,105774.0000,3.7485,33387.8,1581.1,97087.0000,3.8397,30218.4,1743.3,8429.4
16:43:19.739,99450.0000,4.0783,22601.0,4980.8,105629.0000,3.7623,32897.8,1587.0,97445.0000,3.8074,31322.4,1512.4,8080.2
16:43:20.626,98614.0000,4.0483,23508.4,4365.6,104853.0000,3.7515,33279.4,1582.4,97166.0000,3.8111,31194.6,1537.3,7485.3
16:43:21.515,98710.0000,4.0142,24557.3,3757.4,103970.0000,3.7379,33763.9,1576.7,96814.0000,3.8153,31052.6,1565.5,6899.6
16:43:22.403,98817.0000,4.0247,24233.5,3934.4,104241.0000,3.7417,33630.1,1578.3,96911.0000,3.8157,31038.0,1568.4,7081.1
16:43:23.289,98828.0000,4.0146,24546.5,3763.1,103979.0000,3.7477,33413.9,1580.8,97068.0000,3.8126,31142.8,1547.5,6891.5
16:43:24.174,98749.0000,4.0238,24262.1,3918.4,104217.0000,3.7415,33635.6,1578.2,96907.0000,3.8136,31109.6,1554.1,7050.7
16:43:25.059,98774.0000,4.0282,24123.9,3996.4,104333.0000,3.7375,33779.1,1576.5,96803.0000,3.8143,31084.4,1559.1,7132.1
16:43:25.944,98793.0000,4.0299,24072.8,4025.7,104376.0000,3.7361,33830.3,1575.9,96766.0000,3.8136,31111.0,1553.8,7155.5
16:43:26.830,98773.0000,4.0332,23971.8,4084.3,104461.0000,3.7350,33869.0,1575.5,96738.0000,3.8142,31088.4,1558.3,7218.1
16:43:27.716,98790.0000,4.0347,23925.6,4111.4,104500.0000,3.7423,33608.0,1578.5,96927.0000,3.8184,30945.2,1587.2,7277.2
16:43:28.602,98898.0000,4.0336,23958.8,4091.9,104472.0000,3.7431,33580.4,1578.9,96947.0000,3.8156,31042.0,1567.6,7238.4
16:43:29.487,98825.0000,4.0370,23855.6,4152.9,104559.0000,3.7446,33524.0,1579.5,96988.0000,3.8163,31016.8,1572.7,7305.1
16:43:30.373,98844.0000,4.0400,23762.1,4209.0,104638.0000,3.7466,33455.2,1580.3,97038.0000,3.8165,31008.8,1574.3,7363.6
16:43:31.257,98850.0000,4.0398,23768.1,4205.4,104633.0000,3.7454,33496.4,1579.9,97008.0000,3.8174,30979.7,1580.2,7365.5
16:43:32.143,98872.0000,4.0412,23726.7,4230.5,104668.0000,3.7405,33671.4,1577.8,96881.0000,3.8181,30954.5,1585.3,7393.6
16:43:33.034,98891.0000,4.0162,24496.2,3790.1,104021.0000,3.7418,33624.5,1578.3,96915.0000,3.8217,30831.5,1610.6,6979.0
16:43:33.919,98984.0000,4.0415,23717.2,4236.2,104676.0000,3.7399,33694.9,1577.5,96864.0000,3.8170,30994.3,1577.2,7391.0
16:43:34.805,98861.0000,4.0437,23648.7,4278.2,104734.0000,3.7383,33750.1,1576.9,96824.0000,3.8178,30963.8,1583.4,7438.5
16:43:35.690,98884.0000,4.0443,23632.2,4288.4,104748.0000,3.7394,33710.1,1577.3,96853.0000,3.8190,30925.4,1591.2,7457.0
16:43:36.576,98913.0000,4.0448,23614.5,4299.3,104763.0000,3.7363,33823.4,1576.0,96771.0000,3.8187,30933.3,1589.6,7464.9
16:43:37.461,98907.0000,4.0466,23561.4,4332.3,104808.0000,3.7338,33911.9,1575.0,96707.0000,3.8177,30967.8,1582.6,7489.9
16:43:38.348,98881.0000,4.0423,23692.4,4251.4,104697.0000,3.7349,33873.2,1575.4,96735.0000,3.8229,30790.5,1619.1,7445.8
16:43:39.238,99015.0000,4.0488,23494.2,4374.5,104865.0000,3.7429,33585.9,1578.8,96943.0000,3.8240,30753.5,1626.8,7580.1
16:43:40.128,99043.0000,4.0481,23514.3,4361.9,104848.0000,3.7438,33555.6,1579.2,96965.0000,3.8224,30806.4,1615.8,7556.8
16:43:41.014,99003.0000,4.0454,23598.0,4309.6,104777.0000,3.7401,33685.2,1577.6,96871.0000,3.8194,30912.1,1594.0,7481.1
16:43:41.899,98923.0000,4.0476,23530.7,4351.5,104834.0000,3.7398,33697.7,1577.5,96862.0000,3.8200,30889.7,1598.6,7527.5
16:43:42.785,98940.0000,4.0485,23501.3,4370.0,104859.0000,3.7394,33710.1,1577.3,96853.0000,3.8175,30977.0,1580.7,7528.1
16:43:43.670,98874.0000,4.0498,23462.4,4394.6,104892.0000,3.7409,33657.6,1577.9,96891.0000,3.8213,30844.7,1607.8,7580.4
16:43:44.555,98974.0000,4.0498,23462.4,4394.6,104892.0000,3.7429,33584.6,1578.8,96944.0000,3.8212,30848.7,1607.0,7580.4
16:43:45.441,98971.0000,4.0512,23420.1,4421.6,104928.0000,3.7402,33681.1,1577.7,96874.0000,3.8245,30735.1,1630.7,7629.9
16:43:46.327,99057.0000,4.0491,23484.8,4380.4,104873.0000,3.7419,33620.4,1578.4,96918.0000,3.8209,30857.9,1605.1,7563.9
16:43:47.212,98964.0000,4.0536,23346.0,4469.1,104991.0000,3.7428,33591.5,1578.7,96939.0000,3.8214,30842.0,1608.4,7656.2
16:43:48.098,98976.0000,4.0530,23366.0,4456.2,104974.0000,3.7388,33733.6,1577.1,96836.0000,3.8219,30824.9,1611.9,7645.2
16:43:48.983,98989.0000,4.0520,23396.6,4436.6,104948.0000,3.7423,33608.0,1578.5,96927.0000,3.8221,30816.9,1613.6,7628.7
16:43:49.869,98995.0000,4.0542,23328.4,4480.5,105006.0000,3.7426,33595.6,1578.7,96936.0000,3.8226,30801.1,1616.9,7676.1
16:43:50.756,99007.0000,4.0551,23301.4,4498.1,105029.0000,3.7430,33583.2,1578.8,96945.0000,3.8267,30662.5,1646.0,7722.9
16:43:51.646,99112.0000,4.0559,23277.9,4513.4,105049.0000,3.7457,33485.4,1580.0,97016.0000,3.8275,30634.8,1651.8,7745.2
16:43:52.531,99133.0000,4.0528,23370.7,4453.2,104970.0000,3.7425,33601.1,1578.6,96932.0000,3.8233,30776.0,1622.1,7653.9
16:43:53.415,99026.0000,4.0512,23421.3,4420.8,104927.0000,3.7428,33590.1,1578.7,96940.0000,3.8238,30758.8,1625.7,7625.2
16:43:54.302,99039.0000,4.0551,23301.4,4498.1,105029.0000,3.7415,33635.6,1578.2,96907.0000,3.8240,30752.2,1627.1,7703.4
16:43:55.188,99044.0000,4.0553,23294.4,4502.7,105035.0000,3.7423,33608.0,1578.5,96927.0000,3.8243,30744.3,1628.7,7709.9
16:43:56.074,99050.0000,4.0553,23294.4,4502.7,105035.0000,3.7427,33594.2,1578.7,96937.0000,3.8243,30744.3,1628.7,7710.1
16:43:56.960,99050.0000,4.0554,23292.0,4504.2,105037.0000,3.7431,33577.7,1578.9,96949.0000,3.8276,30630.9,1652.7,7735.8
16:43:57.846,99136.0000,4.0548,23309.6,4492.7,105022.0000,3.7431,33580.4,1578.9,96947.0000,3.8210,30855.3,1605.6,7677.2
