Timestamp,Sensor 1 Raw Value,Sensor 1 Voltage (V),Sensor 1 Resistance (Ohm),Sensor 1 Force (N),Sensor 2 Raw Value,Sensor 2 Voltage (V),Sensor 2 Resistance (Ohm),Sensor 2 Force (N),Sensor 3 Raw Value,Sensor 3 Voltage (V),Sensor 3 Resistance (Ohm),Sensor 3 Force (N),Total Grip Force (N)
13:17:40.411,-1.0000,0.0000,499999900000.0,0.0,61308.0000,2.4083,107618.8,1015.8,-2.0000,0.0000,499999900000.0,0.0,1015.8
13:17:42.078,-2.0000,0.0000,499999900000.0,0.0,65701.0000,2.7604,81134.7,1164.4,57731.0000,2.4251,106180.9,1022.9,2187.3
13:17:43.744,-1.0000,0.0000,499999900000.0,0.0,85135.0000,3.3130,50922.7,1397.4,68263.0000,2.5207,98355.3,1063.3,2460.7
13:17:45.414,-2.0000,0.0000,499999900000.0,0.0,87929.0000,3.4050,46841.2,1436.3,72018.0000,2.8284,76775.5,1193.1,2629.3
13:17:47.081,47480.0000,1.8736,166871.8,790.3,92564.0000,3.5985,38944.9,1517.9,77954.0000,3.0294,65050.9,1277.8,3586.0
13:17:48.747,56276.0000,2.4256,106135.0,1023.1,95624.0000,3.7155,34571.5,1567.2,80431.0000,3.1079,60880.3,1310.9,3901.3
13:17:50.415,72539.0000,2.8782,73718.9,1214.1,97879.0000,3.7822,32197.7,1353.6,81432.0000,3.1566,58397.0,1331.5,3899.2
13:17:52.081,84009.0000,3.3313,50093.6,1405.2,98571.0000,3.8141,31092.4,1557.5,81645.0000,3.1282,59837.9,1319.5,4282.2
13:17:53.747,94396.0000,3.6745,36073.2,1549.9,99956.0000,3.8602,29528.1,1907.5,84475.0000,3.2829,52305.4,1384.8,4842.2
13:17:55.414,97303.0000,3.7797,32285.5,1338.7,101570.0000,3.9203,27541.9,2485.2,86771.0000,3.3567,48954.1,1415.9,5239.8
13:17:57.085,99124.0000,3.8168,30998.2,1576.4,101502.0000,3.9134,27767.1,2410.7,84884.0000,3.2796,52459.6,1383.4,5370.5
13:17:58.755,96311.0000,3.7192,34436.0,1568.8,100563.0000,3.8877,28609.7,2153.5,84799.0000,3.2752,52664.5,1381.5,5103.9
13:18:00.425,95590.0000,3.6344,37575.1,1533.0,95531.0000,3.6837,35733.8,1553.8,59237.0000,2.2634,120910.6,954.7,4041.5
13:18:02.094,94370.0000,3.6394,37386.9,1535.1,94818.0000,3.6136,38365.9,1524.3,55984.0000,2.2175,125480.1,935.4,3994.7
