Timestamp,Sensor 1 Raw Value,Sensor 1 Voltage (V),Sensor 1 Resistance (Ohm),Sensor 1 Force (N),Sensor 2 Raw Value,Sensor 2 Voltage (V),Sensor 2 Resistance (Ohm),Sensor 2 Force (N),Sensor 3 Raw Value,Sensor 3 Voltage (V),Sensor 3 Resistance (Ohm),Sensor 3 Force (N),Total Grip Force (N)
14:45:33.313,55498.0000,2.1381,133855.6,901.9,88773.0000,3.4224,46095.8,1443.6,71788.0000,2.7727,80330.1,1169.5,3515.0
14:45:34.982,55136.0000,2.0695,141608.6,872.9,89496.0000,3.4943,43090.1,1473.9,72318.0000,2.8305,76650.2,1193.9,3540.8
14:45:36.653,58215.0000,2.2107,126173.2,932.5,91439.0000,3.4919,43186.6,1472.9,69486.0000,2.8085,78029.5,1184.7,3590.1
14:45:38.323,56575.0000,2.1587,131622.1,910.6,86449.0000,3.2365,54487.5,1365.2,71705.0000,2.7723,80357.7,1169.4,3445.1
14:45:39.993,53617.0000,2.1619,131282.9,911.9,82950.0000,3.2173,55410.8,1357.1,68253.0000,2.6570,88180.7,1120.8,3389.7
14:45:41.661,59392.0000,2.3333,114287.0,984.2,83691.0000,3.4880,43346.6,1471.3,68448.0000,2.6599,87975.9,1122.0,3577.5
14:45:43.328,61784.0000,2.3803,110060.4,1004.0,85170.0000,3.2956,51718.3,1390.1,69628.0000,2.7026,85008.5,1140.0,3534.1
14:45:44.996,60518.0000,2.3805,110043.3,1004.1,84933.0000,3.2846,52226.6,1385.5,70434.0000,2.7003,85161.9,1139.0,3528.6
14:45:46.663,60932.0000,2.3654,111380.4,997.8,92124.0000,3.5777,39754.6,1509.1,76501.0000,2.9994,66701.7,1265.2,3772.0
14:45:48.331,61332.0000,2.3528,112514.7,992.4,94861.0000,3.7526,33241.0,1582.9,90040.0000,3.4715,44029.0,1464.3,4039.6
14:45:49.999,60397.0000,2.2071,126541.1,931.0,88771.0000,3.4730,43968.1,1464.9,100148.0000,3.9294,27247.4,2586.4,4982.3
14:45:51.667,59781.0000,3.2570,53516.9,1373.8,92620.0000,3.5732,39931.3,1507.2,105786.0000,4.0914,22208.8,5276.1,8157.2
