Timestamp,Sensor 1 Raw Value,Sensor 1 Voltage (V),Sensor 1 Resistance (Ohm),Sensor 1 Force (N),Sensor 2 Raw Value,Sensor 2 Voltage (V),Sensor 2 Resistance (Ohm),Sensor 2 Force (N),Sensor 3 Raw Value,Sensor 3 Voltage (V),Sensor 3 Resistance (Ohm),Sensor 3 Force (N),Total Grip Force (N)
15:11:46.712,80136.0000,3.0940,61603.1,1305.1,80136.0000,2.9852,67495.2,1259.2,77317.0000,2.8473,75605.8,1201.0,3765.3
15:11:47.598,73746.0000,3.0018,66564.5,1266.2,77749.0000,2.9873,67373.9,1260.1,77373.0000,2.8619,74710.3,1207.2,3733.5
15:11:48.483,74124.0000,2.9999,66669.5,1265.4,77700.0000,2.9871,67386.9,1260.0,77367.0000,2.8703,74195.6,1210.7,3736.1
15:11:49.367,74343.0000,2.9980,66776.9,1264.6,77650.0000,2.9870,67393.4,1259.9,77364.0000,2.8796,73635.0,1214.6,3739.2
15:11:50.253,74583.0000,2.9974,66813.4,1264.3,77633.0000,2.9855,67475.7,1259.3,77326.0000,2.8874,73168.4,1217.9,3741.6
15:11:51.141,74784.0000,2.9772,67942.6,1255.8,77111.0000,2.9854,67480.0,1259.3,77324.0000,2.8995,72442.0,1223.0,3738.1
15:11:52.031,75099.0000,3.0000,66667.4,1265.4,77701.0000,2.9983,66759.7,1264.7,77658.0000,3.0397,64489.0,1282.2,3812.3
15:11:52.917,78730.0000,3.3719,48282.2,1422.3,87335.0000,3.1806,57203.0,1341.6,82379.0000,3.1122,60658.8,1312.8,4076.7
15:11:53.803,80607.0000,3.6105,38484.3,1523.0,93514.0000,3.3496,49273.5,1412.9,86755.0000,3.2225,55159.4,1359.3,4295.1
15:11:54.689,83464.0000,3.6167,38247.8,1525.6,93674.0000,3.2122,55657.3,1354.9,83197.0000,3.2064,55940.4,1352.5,4233.0
15:11:55.574,83046.0000,3.5749,39863.3,1507.9,92592.0000,3.2074,55889.7,1352.9,83073.0000,3.1986,56320.6,1349.2,4210.0
15:11:56.460,82844.0000,3.5930,39159.9,1515.6,93060.0000,3.2519,53755.6,1371.7,84226.0000,3.1872,56875.4,1344.4,4231.7
15:11:57.346,82551.0000,3.6090,38540.6,1522.3,93476.0000,3.3076,51165.8,1395.2,85669.0000,3.2184,55358.5,1357.5,4275.1
15:11:58.235,83357.0000,3.6560,36763.0,1542.1,94691.0000,3.4465,45072.9,1453.8,89267.0000,3.4166,46345.1,1441.1,4437.1
15:11:59.125,88491.0000,3.6664,36372.7,1546.5,94962.0000,3.5322,41554.1,1489.9,91486.0000,3.4872,43380.0,1471.0,4507.4
15:12:00.015,90321.0000,3.6777,35954.6,1551.3,95254.0000,3.6378,37445.2,1534.5,94221.0000,3.5757,39833.1,1508.3,4594.0
15:12:00.906,92612.0000,3.7117,34708.7,1565.6,96135.0000,3.7324,33961.8,1574.4,96671.0000,3.6458,37143.9,1537.8,4677.8
15:12:01.795,94428.0000,3.7998,31586.6,1462.4,98416.0000,3.7967,31692.3,1442.9,98337.0000,3.8307,30524.2,1675.6,4580.9
15:12:02.681,99217.0000,3.8212,30850.0,1606.7,98970.0000,3.8524,29787.8,1843.8,99780.0000,3.9252,27382.6,2539.4,5989.9
15:12:03.566,101664.0000,3.8899,28539.5,2173.8,100749.0000,3.8942,28395.5,2215.9,100862.0000,3.9609,26232.8,2972.1,7361.7
15:12:04.452,102590.0000,3.9079,27945.1,2353.7,101217.0000,3.9337,27107.5,2636.1,101884.0000,3.9853,25462.3,3307.8,8297.6
15:12:05.338,103220.0000,3.9311,27189.9,2606.7,101818.0000,3.9339,27098.8,2639.2,101891.0000,3.9781,25688.8,3204.9,8450.9
15:12:06.223,103034.0000,3.8895,28550.9,2170.4,100740.0000,3.8943,28394.2,2216.3,100863.0000,3.8961,28331.8,2234.8,6621.5
15:12:07.109,100912.0000,3.8265,30666.5,1645.1,99109.0000,3.8416,30155.6,1757.5,99498.0000,3.8700,29198.6,1992.0,5394.6
15:12:07.996,100235.0000,3.8120,31165.4,1543.1,98732.0000,3.8446,30053.7,1781.0,99576.0000,3.8739,29068.6,2026.5,5350.5
15:12:08.881,100336.0000,3.8166,31007.5,1574.6,98851.0000,3.8456,30018.4,1789.2,99603.0000,3.8769,28968.3,2053.5,5417.2
15:12:09.767,100414.0000,3.8191,30920.1,1592.3,98917.0000,3.8440,30071.9,1776.7,99562.0000,3.8789,28901.5,2071.7,5440.8
15:12:10.652,100466.0000,3.8204,30876.4,1601.3,98950.0000,3.8462,29997.5,1794.0,99619.0000,3.8798,28873.3,2079.5,5474.8
15:12:11.538,100488.0000,3.8135,31112.3,1553.6,98772.0000,3.8394,30228.9,1740.9,99442.0000,3.8746,29044.1,2033.0,5327.5
15:12:12.424,100355.0000,3.8135,31112.3,1553.6,98772.0000,3.8392,30236.8,1739.1,99436.0000,3.8736,29078.8,2023.7,5316.4
15:12:13.309,100328.0000,3.8138,31101.7,1555.7,98780.0000,3.8465,29987.1,1796.5,99627.0000,3.8835,28750.3,2113.7,5465.8
15:12:14.195,100584.0000,3.8153,31052.6,1565.5,98817.0000,3.8411,30171.3,1754.0,99486.0000,3.8763,28990.1,2047.6,5367.0
15:12:15.081,100397.0000,3.8160,31027.4,1570.6,98836.0000,3.8416,30154.3,1757.8,99499.0000,3.8747,29042.8,2033.4,5361.7
15:12:15.966,100356.0000,3.8162,31022.1,1571.6,98840.0000,3.8421,30138.6,1761.4,99511.0000,3.8781,28929.8,2064.0,5397.0
15:12:16.851,100444.0000,3.8248,30725.8,1632.6,99064.0000,3.8495,29886.7,1820.1,99704.0000,3.8833,28758.0,2111.5,5564.2
15:12:17.738,100578.0000,3.8244,30739.0,1629.8,99054.0000,3.8506,29851.5,1828.5,99731.0000,3.8800,28865.6,2081.6,5539.9
15:12:18.626,100494.0000,3.8210,30856.6,1605.4,98965.0000,3.8462,29997.5,1794.0,99619.0000,3.8813,28823.3,2093.3,5492.7
15:12:19.514,100527.0000,3.8212,30850.0,1606.7,98970.0000,3.8465,29989.7,1795.9,99625.0000,3.8822,28793.9,2101.5,5504.1
15:12:20.401,100550.0000,3.8186,30937.3,1588.8,98904.0000,3.8497,29881.5,1821.4,99708.0000,3.8833,28756.7,2111.9,5522.1
15:12:21.285,100579.0000,3.8203,30880.4,1600.5,98947.0000,3.8423,30129.4,1763.5,99518.0000,3.8773,28954.2,2057.3,5421.3
15:12:22.168,100425.0000,3.8200,30891.0,1598.3,98939.0000,3.8428,30112.5,1767.4,99531.0000,3.8774,28951.6,2058.0,5423.7
15:12:23.055,100427.0000,3.8198,30896.3,1597.2,98935.0000,3.8449,30041.9,1783.7,99585.0000,3.8782,28924.6,2065.4,5446.3
15:12:23.939,100448.0000,3.8192,30918.8,1592.6,98918.0000,3.8432,30099.4,1770.4,99541.0000,3.8780,28932.3,2063.3,5426.3
