Timestamp,Sensor 1 Raw Value,Sensor 1 Voltage (V),Sensor 1 Resistance (Ohm),Sensor 1 Force (N),Sensor 2 Raw Value,Sensor 2 Voltage (V),Sensor 2 Resistance (Ohm),Sensor 2 Force (N),Sensor 3 Raw Value,Sensor 3 Voltage (V),Sensor 3 Resistance (Ohm),Sensor 3 Force (N),Total Grip Force (N)
10:21:23.168,80037.0000,3.1186,60330.6,1315.4,80772.0000,1.0789,363451.4,455.1,27943.0000,2.1862,128709.6,922.2,2692.7
10:21:24.054,56623.0000,3.0937,61621.2,1304.9,80127.0000,1.0616,370985.7,447.8,27496.0000,2.1877,128548.1,922.8,2675.5
10:21:24.940,56663.0000,3.0935,61627.3,1304.9,80124.0000,1.1132,349161.4,469.6,28832.0000,2.1854,128794.4,921.8,2696.2
10:21:25.825,56602.0000,3.0976,61413.7,1306.6,80230.0000,1.0579,372618.6,446.2,27401.0000,2.1844,128899.6,921.4,2674.2
10:21:26.710,56576.0000,3.0905,61784.8,1303.6,80046.0000,1.0860,360419.6,458.1,28127.0000,2.1882,128499.7,923.0,2684.7
10:21:27.595,56675.0000,3.3222,50501.7,1401.3,86047.0000,1.0452,378362.2,440.9,27072.0000,2.1923,128073.2,924.7,2767.0
10:21:28.484,56781.0000,3.3697,48380.7,1421.4,87277.0000,1.6048,211573.1,676.9,41564.0000,2.2425,122964.5,945.9,3044.2
10:21:29.373,58082.0000,3.4280,45858.8,1446.0,88786.0000,1.8595,168894.4,784.3,48161.0000,2.2837,118942.4,963.3,3193.6
10:21:30.258,59149.0000,3.5282,41716.8,1488.2,91381.0000,2.2246,124760.0,938.4,57618.0000,2.5093,99258.7,1058.4,3485.0
10:21:31.142,64992.0000,3.6362,37506.5,1533.8,94179.0000,2.4326,105539.5,1026.1,63006.0000,2.8489,75503.4,1201.7,3761.6
10:21:32.027,73789.0000,3.7290,34083.9,1572.9,96583.0000,2.5522,95912.7,1076.5,66102.0000,2.9754,68047.2,1255.0,3904.5
10:21:32.913,77063.0000,3.8023,31498.4,1478.9,98482.0000,2.6487,88770.5,1117.3,68603.0000,3.0471,64088.9,1285.3,3881.4
10:21:33.798,78922.0000,3.8035,31458.3,1486.4,98512.0000,2.7390,82549.2,1155.3,70941.0000,3.1564,58410.6,1331.4,3973.2
10:21:34.685,81751.0000,3.8304,30536.1,1673.0,99208.0000,2.8623,74684.3,1207.3,74135.0000,3.3999,47064.7,1434.1,4314.5
10:21:35.575,88058.0000,3.9023,28130.0,2296.0,101071.0000,2.9879,67341.5,1260.3,77388.0000,3.5123,42358.6,1481.5,5037.8
10:21:36.461,90969.0000,3.9277,27299.9,2568.0,101730.0000,3.0785,62417.8,1298.5,79734.0000,3.5951,39077.7,1516.5,5383.0
10:21:37.346,93115.0000,3.9217,27494.2,2501.3,101575.0000,3.1378,59348.1,1323.5,81270.0000,3.6624,36523.6,1544.8,5369.7
10:21:38.231,94857.0000,3.9228,27460.3,2512.8,101602.0000,3.2526,53722.8,1372.0,84244.0000,3.7185,34463.9,1568.5,5453.2
10:21:39.117,96310.0000,3.9543,26443.6,2887.0,102419.0000,3.3334,49997.9,1406.1,86336.0000,3.7627,32884.1,1587.1,5880.1
10:21:40.002,97455.0000,3.9854,25458.7,3309.5,103223.0000,3.4425,45242.1,1452.1,89163.0000,3.8549,29705.9,1863.6,6625.2
10:21:40.887,99843.0000,4.0265,24176.3,3966.7,104289.0000,3.5382,41316.3,1492.4,91640.0000,3.8862,28660.8,2139.0,7598.0
10:21:41.772,100654.0000,4.0504,23446.0,4405.1,104906.0000,3.5991,38925.5,1518.1,93217.0000,3.9020,28140.1,2292.9,8216.1
10:21:42.658,101063.0000,4.0483,23507.2,4366.3,104854.0000,3.6767,35993.2,1550.8,95227.0000,3.9213,27509.3,2496.2,8413.3
10:21:43.543,101563.0000,4.0540,23334.3,4476.7,105001.0000,3.7028,35033.2,1561.9,95904.0000,3.9275,27308.7,2565.0,8603.6
10:21:44.429,101723.0000,4.0554,23293.2,4503.4,105036.0000,3.7096,34785.8,1564.7,96080.0000,3.9351,27061.4,2652.7,8720.9
10:21:45.314,101921.0000,4.0600,23151.3,4597.0,105157.0000,3.7185,34462.5,1568.5,96311.0000,3.9310,27193.7,2605.4,8770.9
10:21:46.199,101815.0000,4.0521,23394.2,4438.1,104950.0000,3.7034,35010.7,1562.1,95920.0000,3.9233,27442.8,2518.8,8519.0
10:21:47.085,101616.0000,4.0025,24922.6,3568.2,103666.0000,3.4624,44408.0,1460.5,89678.0000,3.8124,31149.5,1546.2,6574.9
10:21:47.970,98744.0000,3.9477,26655.0,2804.3,102248.0000,3.2018,56164.1,1350.5,82927.0000,3.8164,31012.8,1573.5,5728.3
10:21:48.856,98847.0000,3.9490,26614.2,2820.0,102281.0000,3.1956,56466.0,1347.9,82767.0000,3.8134,31116.3,1552.8,5720.8
10:21:49.742,98769.0000,3.9486,26626.5,2815.3,102271.0000,3.1903,56723.5,1345.7,82631.0000,3.8151,31059.2,1564.2,5725.1
10:21:50.627,98812.0000,3.9495,26596.8,2826.8,102295.0000,3.1927,56606.0,1346.7,82693.0000,3.8224,30806.4,1615.8,5789.3
10:21:51.513,99003.0000,3.9578,26333.8,2930.9,102508.0000,3.1960,56443.3,1348.1,82779.0000,3.8235,30770.7,1623.2,5902.3
10:21:52.399,99030.0000,3.9503,26572.1,2836.4,102315.0000,3.1881,56831.7,1344.8,82574.0000,3.8197,30900.2,1596.4,5777.6
10:21:53.285,98932.0000,3.9534,26474.4,2874.7,102394.0000,3.1939,56547.3,1347.2,82724.0000,3.8219,30823.5,1612.2,5834.1
10:21:54.170,98990.0000,3.9603,26253.7,2963.5,102573.0000,3.2026,56124.6,1350.9,82948.0000,3.8278,30623.0,1654.4,5968.7
10:21:55.055,99142.0000,3.9547,26431.2,2891.9,102429.0000,3.1981,56343.2,1349.0,82832.0000,3.8222,30815.6,1613.8,5854.7
10:21:55.940,98996.0000,3.9556,26401.6,2903.7,102453.0000,3.1946,56513.3,1347.5,82742.0000,3.8245,30736.4,1630.4,5881.6
10:21:56.827,99056.0000,3.9583,26317.8,2937.4,102521.0000,3.1943,56528.4,1347.4,82734.0000,3.8303,30537.4,1672.7,5957.6
10:21:57.716,99207.0000,3.9647,26112.3,3022.0,102688.0000,3.2039,56058.7,1351.4,82983.0000,3.8294,30567.7,1666.2,6039.6
10:21:58.603,99184.0000,3.9578,26333.8,2930.9,102508.0000,3.2059,55964.8,1352.3,83033.0000,3.8262,30679.6,1642.3,5925.5
10:21:59.488,99099.0000,3.9622,26192.2,2988.8,102623.0000,3.2044,56034.3,1351.7,82996.0000,3.8314,30500.6,1680.7,6021.2
10:22:00.372,99235.0000,3.9734,25837.8,3139.2,102912.0000,3.2109,55717.2,1354.4,83165.0000,3.8206,30869.8,1602.6,6096.2
10:22:01.257,98955.0000,3.9677,26017.8,3061.8,102765.0000,3.2076,55880.3,1353.0,83078.0000,3.8276,30629.6,1653.0,6067.7
