Timestamp,Sensor 1 Raw Value,Sensor 1 Voltage (V),Sensor 1 Resistance (Ohm),Sensor 1 Force (N),Sensor 2 Raw Value,Sensor 2 Voltage (V),Sensor 2 Resistance (Ohm),Sensor 2 Force (N),Sensor 3 Raw Value,Sensor 3 Voltage (V),Sensor 3 Resistance (Ohm),Sensor 3 Force (N),Total Grip Force (N)
10:50:28.844,81331.0000,3.1401,59228.6,1324.5,81331.0000,1.4608,242281.6,616.2,37835.0000,3.0295,65042.5,1277.9,3218.6
10:50:29.730,78466.0000,3.1653,57962.3,1335.2,81983.0000,1.4672,240795.3,618.9,38000.0000,3.0294,65046.7,1277.9,3231.9
10:50:30.614,78464.0000,3.1448,58994.0,1326.5,81451.0000,1.4631,241730.6,617.2,37896.0000,3.0188,65631.4,1273.3,3217.0
10:50:31.499,78187.0000,3.1856,56955.3,1343.7,82509.0000,1.4645,241415.3,617.7,37931.0000,3.0229,65402.9,1275.1,3236.6
10:50:32.384,78295.0000,2.9919,67116.9,1262.0,77492.0000,1.4105,254489.8,595.0,36532.0000,3.0834,62159.5,1300.6,3157.6
10:50:33.270,79861.0000,2.9493,69529.9,1244.1,76389.0000,1.3658,266094.4,576.1,35374.0000,3.0871,61962.8,1302.2,3122.3
10:50:34.156,79958.0000,3.3852,47703.8,1427.9,87677.0000,1.3273,276711.8,559.9,34377.0000,3.0793,62373.0,1298.9,3286.6
10:50:35.041,79756.0000,3.6496,37001.7,1539.4,94526.0000,2.0884,139419.9,880.9,54090.0000,3.0974,61423.8,1306.5,3726.9
10:50:35.926,80225.0000,3.7584,33035.7,1585.3,97344.0000,0.2766,1707932.8,116.7,7163.0000,3.2743,52705.9,1381.1,3083.1
10:50:36.811,84805.0000,3.8620,29467.3,1922.8,100027.0000,2.2964,117727.6,968.7,59479.0000,3.4157,46384.8,1440.8,4332.2
10:50:37.697,88467.0000,3.8875,28618.6,2151.0,100687.0000,2.6618,87845.0,1122.8,68941.0000,3.4636,44359.7,1461.0,4734.7
10:50:38.585,89708.0000,3.9085,27927.4,2359.3,101231.0000,3.0106,66081.7,1269.9,77975.0000,3.5901,39273.7,1514.3,5143.5
10:50:39.470,92984.0000,3.9402,26897.0,2712.9,102053.0000,3.1750,57478.2,1339.3,82235.0000,3.6462,37130.8,1538.0,5590.1
10:50:40.356,94437.0000,3.9519,26522.6,2855.7,102355.0000,3.2717,52826.6,1380.0,84738.0000,3.6914,35451.2,1557.1,5792.8
10:50:41.247,95608.0000,3.9572,26352.3,2923.5,102493.0000,3.4005,47036.3,1434.4,88075.0000,3.7574,33071.2,1584.9,5942.8
10:50:42.134,97318.0000,3.9623,26188.5,2990.3,102626.0000,3.4854,43454.6,1470.2,90274.0000,3.8123,31156.1,1544.9,6005.4
10:50:43.020,98739.0000,3.9786,25671.8,3212.6,103048.0000,3.5596,40467.1,1501.5,92194.0000,3.8723,29123.9,2011.7,6725.7
10:50:43.906,100293.0000,4.0185,24425.7,3828.3,104080.0000,3.6359,37518.2,1533.7,94171.0000,3.9398,26909.5,2708.3,8070.2
10:50:44.795,102043.0000,4.0442,23633.4,4287.6,104747.0000,3.7064,34902.4,1563.4,95997.0000,3.9738,25825.6,3144.5,8995.6
10:50:45.682,102922.0000,4.0725,22774.2,4856.3,105480.0000,3.7880,31994.3,1388.8,98112.0000,4.0060,24813.0,3623.8,9868.9
10:50:46.567,103757.0000,4.0965,22056.8,5395.8,106100.0000,3.8497,29880.2,1821.7,99709.0000,4.0275,24145.4,3984.2,11201.7
10:50:47.454,104315.0000,4.1122,21589.2,5783.1,106508.0000,3.8945,28385.3,2218.9,100870.0000,4.0294,24087.1,4017.5,12019.5
