Timestamp,Sensor 1 Raw Value,Sensor 1 Voltage (V),Sensor 1 Resistance (Ohm),Sensor 1 Force (N),Sensor 2 Raw Value,Sensor 2 Voltage (V),Sensor 2 Resistance (Ohm),Sensor 2 Force (N),Sensor 3 Raw Value,Sensor 3 Voltage (V),Sensor 3 Resistance (Ohm),Sensor 3 Force (N),Total Grip Force (N)
10:33:45.675,74661.0000,2.8782,73718.9,1214.1,82094.0000,3.1752,57472.5,1339.3,77362.0000,2.9885,67306.9,1260.6,3814.0
10:33:47.345,73800.0000,2.8659,74467.8,1208.8,81407.0000,3.1475,58855.6,1327.7,78070.0000,3.0152,65828.6,1271.8,3808.3
10:33:49.013,74661.0000,2.8895,73041.1,1218.8,83681.0000,3.3885,47559.0,1429.3,77053.0000,3.0142,65881.8,1271.4,3919.5
10:33:50.682,106906.0000,4.2077,18829.0,8804.7,98755.0000,3.8392,30236.8,1739.1,98864.0000,3.8248,30725.8,1632.6,12176.4
10:33:52.349,114627.0000,4.4537,12266.0,25990.9,105016.0000,4.0740,22728.8,4888.6,106964.0000,4.1502,20475.0,6836.6,37716.1
10:33:54.016,116456.0000,4.5031,11035.9,32294.0,106935.0000,4.1356,20902.4,6409.2,111696.0000,4.3508,14922.1,16523.4,55226.7
10:33:55.683,116842.0000,4.5125,10802.1,33672.4,107792.0000,4.1718,19852.9,7516.5,113317.0000,4.3810,14130.0,18871.4,60060.3
10:33:57.351,117100.0000,4.5308,10354.6,36496.4,109006.0000,4.2118,18714.6,8963.2,113973.0000,4.4137,13283.4,21795.9,67255.5
10:33:59.018,117675.0000,4.5532,9813.7,40262.4,109519.0000,4.2301,18199.9,9716.5,113230.0000,4.3506,14926.1,16512.2,66491.2
10:34:00.686,116917.0000,4.5315,10337.7,36608.2,108866.0000,4.2075,18834.5,8797.2,112951.0000,4.3583,14723.5,17080.0,62485.5
10:34:02.356,117418.0000,4.5284,10414.8,36101.7,109083.0000,4.2268,18292.8,9575.6,113216.0000,4.3853,14018.5,19230.6,64907.9
10:34:04.023,117343.0000,4.5415,10095.7,38248.6,109547.0000,4.2387,17959.9,10091.7,113337.0000,4.3108,15987.4,13858.9,62199.3
10:34:05.690,115379.0000,4.4203,13113.2,22442.3,103943.0000,3.9849,25473.3,3302.8,14118.0000,0.9673,416913.0,408.0,26153.1
