Timestamp,Sensor 1 Raw Value,Sensor 1 Voltage (V),Sensor 1 Resistance (Ohm),Sensor 1 Force (N),Sensor 2 Raw Value,Sensor 2 Voltage (V),Sensor 2 Resistance (Ohm),Sensor 2 Force (N),Sensor 3 Raw Value,Sensor 3 Voltage (V),Sensor 3 Resistance (Ohm),Sensor 3 Force (N),Total Grip Force (N)
14:54:18.480,106573.0000,4.1085,21698.9,5689.5,82129.0000,3.1735,57554.9,1338.6,102161.0000,3.9409,26874.7,2721.2,9749.4
14:54:20.149,106026.0000,4.1060,21773.3,5627.1,82300.0000,3.1786,57302.3,1340.8,102332.0000,3.9480,26647.6,2807.1,9775.0
14:54:21.817,106412.0000,4.1095,21670.3,5713.8,82364.0000,3.1799,57239.2,1341.3,102365.0000,3.9533,26475.7,2874.2,9929.3
14:54:23.485,106443.0000,4.1111,21621.2,5755.7,82412.0000,3.1820,57136.2,1342.2,102498.0000,3.9530,26486.8,2869.8,9967.7
14:54:25.153,106218.0000,4.1081,21710.3,5679.9,82250.0000,3.1776,57351.9,1340.3,102217.0000,3.9433,26798.9,2749.6,9769.8
14:54:26.820,106465.0000,4.1116,21606.3,5768.4,82341.0000,3.1789,57285.1,1340.9,100610.0000,3.9257,27365.0,2545.4,9654.7
14:54:28.487,108814.0000,3.4388,45400.3,1450.5,40080.0000,1.5635,219790.2,659.5,-2.0000,0.0000,499999900000.0,0.0,2110.0
14:54:30.155,75997.0000,2.9511,69425.7,1244.8,44188.0000,1.7147,191592.9,723.3,20736.0000,2.0501,143888.3,864.8,2832.9
14:54:31.822,78096.0000,3.0337,64813.5,1279.7,86444.0000,3.6026,38790.1,1519.6,4612.0000,0.0000,499999900000.0,0.0,2799.3
14:54:33.489,39917.0000,1.9999,150013.9,843.6,85891.0000,3.0800,62336.4,1299.2,62107.0000,2.3500,112766.1,991.3,3134.0
14:54:35.156,51398.0000,2.0112,148607.7,848.3,19936.0000,1.4453,245938.9,609.7,83203.0000,3.5336,41500.0,1490.5,2948.5
14:54:36.823,53773.0000,2.5488,96167.9,1075.1,93419.0000,2.7773,80029.2,1171.5,65051.0000,2.6366,89635.7,1112.2,3358.8
14:54:38.490,39078.0000,2.0580,142950.3,868.1,91624.0000,3.6688,36285.1,1547.5,70467.0000,2.7813,79774.3,1173.2,3588.8
14:54:40.157,43313.0000,1.2630,295886.0,532.7,95273.0000,3.6790,35907.5,1551.8,66953.0000,2.2109,126149.5,932.6,3017.2
14:54:41.823,78548.0000,2.9869,67397.7,1259.9,78828.0000,3.0781,62438.2,1298.4,46197.0000,2.7073,84689.2,1141.9,3700.2
14:54:43.491,27229.0000,1.2253,308061.0,516.8,78995.0000,3.1664,57908.4,1335.6,80943.0000,3.2721,52808.6,1380.2,3232.7
14:54:45.158,40263.0000,1.5672,219033.9,661.1,92965.0000,3.6768,35986.0,1550.9,93429.0000,3.7189,34448.6,1568.7,3780.7
14:54:46.825,39819.0000,1.6759,198344.1,706.9,94434.0000,3.6146,38327.5,1524.7,88869.0000,3.3862,47660.0,1428.3,3659.9
14:54:48.492,43350.0000,1.6754,198440.4,706.7,100126.0000,3.8646,29379.3,1945.2,91901.0000,3.5620,40371.2,1502.5,4154.3
14:54:50.159,43789.0000,1.6907,195741.5,713.1,100664.0000,3.8856,28680.0,2133.5,95005.0000,3.7124,34684.9,1565.9,4412.6
14:54:51.826,42933.0000,1.6721,199033.0,705.3,101941.0000,3.9458,26715.7,2781.0,101887.0000,3.9134,27764.6,2411.6,5897.9
14:54:53.493,62811.0000,3.2066,55929.1,1352.6,103756.0000,4.0316,24021.7,4055.2,104002.0000,4.0418,23707.8,4242.0,9649.8
14:54:55.160,107128.0000,4.1369,20864.1,6446.3,106276.0000,4.1218,21305.6,6033.0,111025.0000,4.3045,16158.0,13478.1,25957.4
14:54:56.827,115904.0000,4.5002,11105.4,31896.0,108533.0000,4.1905,19318.4,8160.8,110964.0000,4.2696,17107.6,11559.1,51615.8
14:54:58.493,117647.0000,4.5424,10074.1,38398.4,107903.0000,4.1196,21370.4,5974.9,109689.0000,4.2583,17416.5,11001.5,55374.7
14:55:00.160,115805.0000,4.4787,11639.8,29010.9,105482.0000,4.0819,22490.8,5061.9,108224.0000,4.1828,19537.6,7889.4,41962.2
14:55:01.827,116794.0000,4.5075,10927.4,32925.6,105801.0000,4.0844,22415.6,5118.1,109091.0000,4.2112,18732.0,8938.8,46982.6
14:55:03.493,116878.0000,4.5169,10696.1,34319.3,106839.0000,4.1473,20559.1,6750.1,110820.0000,4.2924,16484.0,12782.2,53851.6
14:55:05.162,117631.0000,4.5481,9935.8,39376.2,109458.0000,4.2359,18038.3,9967.3,113900.0000,4.4132,13295.3,21751.6,71095.1
14:55:06.829,118440.0000,4.5906,8917.8,47476.1,110513.0000,4.2697,17105.4,11563.0,111623.0000,4.2933,16459.9,12832.3,71871.3
14:55:08.496,114392.0000,4.3900,13896.2,19633.4,106448.0000,4.1365,20875.4,6435.4,110008.0000,4.1430,20685.0,6622.8,32691.6
14:55:10.163,84442.0000,3.3121,50959.6,1397.1,105127.0000,4.1067,21751.5,5645.2,85207.0000,3.5088,42499.6,1480.0,8522.4
14:55:11.830,95998.0000,3.5182,42116.5,1484.0,105210.0000,4.0186,24422.1,3830.2,92831.0000,3.6938,35360.6,1558.1,6872.3
14:55:13.497,61566.0000,3.3441,49518.2,1410.6,91446.0000,3.7627,32884.1,1587.1,95413.0000,3.6057,38668.2,1520.9,4518.6
14:55:15.164,67589.0000,2.5663,94833.9,1082.5,97325.0000,3.8033,31466.3,1484.9,103560.0000,4.1264,21171.7,6155.2,8722.6
14:55:16.831,54767.0000,2.0420,144856.6,861.3,99473.0000,4.0576,23225.1,4548.0,109932.0000,4.2043,18927.2,8671.1,14080.4
14:55:18.498,64857.0000,2.9566,69115.9,1247.1,106143.0000,4.1073,21734.4,5659.7,106040.0000,3.9977,25072.2,3493.8,10400.6
14:55:20.165,92806.0000,3.5571,40563.1,1500.4,107308.0000,4.0520,23396.6,4436.6,106014.0000,4.1821,19556.3,7866.7,13803.7
14:55:21.833,47998.0000,2.7119,84373.7,1143.9,102815.0000,3.1746,57499.3,1339.1,98440.0000,3.7727,32530.5,1298.2,3781.2
14:55:23.499,40133.0000,1.5370,225308.9,648.3,96713.0000,3.5650,40251.1,1503.8,103408.0000,4.0215,24331.3,3880.0,6032.1
