Timestamp,Sensor 1 Raw Value,Sensor 1 Voltage (V),Sensor 1 Resistance (Ohm),Sensor 1 Force (N),Sensor 2 Raw Value,Sensor 2 Voltage (V),Sensor 2 Resistance (Ohm),Sensor 2 Force (N),Sensor 3 Raw Value,Sensor 3 Voltage (V),Sensor 3 Resistance (Ohm),Sensor 3 Force (N),Total Grip Force (N)
15:39:13.330,71009.0000,2.7339,82892.1,1153.2,89809.0000,3.4600,44507.9,1459.5,99220.0000,3.8178,30965.1,1583.2,4195.8
15:39:14.997,70768.0000,2.7344,82858.5,1153.4,89827.0000,3.4699,44097.9,1463.6,97924.0000,3.7110,34733.9,1565.3,4182.3
15:39:16.664,58331.0000,1.1781,324402.7,496.9,85483.0000,3.2904,51956.9,1387.9,66118.0000,2.6046,91968.9,1098.6,2983.5
15:39:18.335,37681.0000,1.3587,268008.6,573.1,-1.0000,0.0000,499999900000.0,0.0,-2.0000,1.6656,200190.6,702.6,1275.7
15:39:20.002,37866.0000,1.4474,245440.6,610.5,-1.0000,0.0000,499999900000.0,0.0,-2.0000,0.0000,499999900000.0,0.0,610.5
15:39:21.669,37489.0000,1.5034,232568.6,634.2,105.0000,0.1420,3421953.4,59.9,47417.0000,1.8870,164966.2,796.0,1490.0
15:39:23.338,39697.0000,1.5348,225767.2,647.4,-2.0000,0.0000,499999900000.0,0.0,-2.0000,0.0000,499999900000.0,0.0,647.4
15:39:25.007,39015.0000,1.5230,228294.2,642.4,-2.0000,0.0000,499999900000.0,0.0,-2.0000,0.0000,499999900000.0,0.0,642.4
15:39:26.674,39167.0000,1.5175,229488.7,640.1,11009.0000,0.4194,1092250.3,176.9,-2.0000,0.0000,499999900000.0,0.0,817.0
15:39:28.341,39703.0000,1.5590,220716.8,657.6,-2.0000,0.0000,499999900000.0,0.0,-1.0000,0.0000,499999900000.0,0.0,657.6
15:39:30.009,40417.0000,1.5839,215674.3,668.1,-1.0000,0.0000,499999900000.0,0.0,-1.0000,0.0000,499999900000.0,0.0,668.1
15:39:31.681,41314.0000,1.5986,212769.5,674.3,-2.0000,0.0000,499999900000.0,0.0,-2.0000,0.0000,499999900000.0,0.0,674.3
15:39:33.348,41679.0000,1.6209,208470.8,683.7,-2.0000,0.0000,499999900000.0,0.0,-2.0000,0.0000,499999900000.0,0.0,683.7
15:39:35.015,41865.0000,1.6132,209947.4,680.5,12152.0000,0.9751,412778.6,411.3,-2.0000,0.0000,499999900000.0,0.0,1091.8
15:39:36.682,41232.0000,1.5884,214784.2,670.0,27653.0000,1.2138,311942.1,512.0,-2.0000,0.0000,499999900000.0,0.0,1182.0
15:39:38.353,41729.0000,1.6103,210504.8,679.2,29501.0000,1.1235,345024.8,473.9,-1.0000,0.0000,499999900000.0,0.0,1153.2
15:39:40.019,42052.0000,1.6141,209762.1,680.9,9139.0000,0.0000,499999900000.0,0.0,-2.0000,0.0000,499999900000.0,0.0,680.9
15:39:41.687,42581.0000,1.6458,203810.4,694.2,-2.0000,0.0040,124421371.0,1.7,-1.0000,0.0000,499999900000.0,0.0,695.9
15:39:43.355,42920.0000,1.6382,205213.8,691.0,286.0000,0.3526,1317959.3,148.7,-2.0000,0.0000,499999900000.0,0.0,839.7
15:39:45.022,43469.0000,1.6485,203305.2,695.4,757.0000,0.4593,988711.4,193.7,-2.0000,0.0000,499999900000.0,0.0,889.1
15:39:46.689,43188.0000,1.6718,199081.4,705.2,-2.0000,0.0000,499999900000.0,0.0,-2.0000,0.0000,499999900000.0,0.0,705.2
15:39:48.355,52362.0000,2.1672,130710.2,914.2,100755.0000,3.7814,32226.1,1348.8,72706.0000,2.7627,80980.2,1165.3,3428.3
15:39:50.023,58471.0000,2.5452,96444.7,1073.6,101607.0000,3.9287,27267.4,2579.4,84807.0000,3.4806,43653.5,1468.2,5121.2
15:39:51.690,102014.0000,4.0336,23958.8,4091.9,103347.0000,3.9846,25484.2,3297.7,103488.0000,4.0500,23456.6,4398.3,11788.0
15:39:53.357,105859.0000,4.1182,21412.5,5937.4,104616.0000,3.9985,25048.0,3505.7,105767.0000,4.0698,22855.7,4798.9,14242.1
15:39:55.024,112907.0000,4.3572,14752.0,16999.0,104693.0000,4.0262,24185.8,3961.3,105580.0000,4.0521,23393.0,4438.9,25399.1
15:39:56.691,113451.0000,4.4199,13125.1,22396.6,105168.0000,4.0726,22771.9,4858.0,107888.0000,4.1968,19138.4,8391.3,35645.9
15:39:58.362,117123.0000,4.5362,10225.0,37362.2,106652.0000,4.1338,20955.5,6358.2,110353.0000,4.2822,16762.3,12219.5,55939.9
15:40:00.030,117993.0000,4.5637,9559.2,42181.1,109317.0000,4.2197,18490.9,9282.4,112460.0000,4.3535,14849.7,16724.0,68187.5
15:40:01.698,118453.0000,4.5793,9186.0,45178.2,110990.0000,4.2948,16421.1,12913.2,113581.0000,4.3878,13952.3,19447.5,77538.8
15:40:03.365,118906.0000,4.5775,9229.3,44818.8,110436.0000,4.2673,17171.1,11441.8,113820.0000,4.3967,13722.1,20222.5,76483.2
15:40:05.032,118479.0000,4.5767,9249.5,44651.6,110643.0000,4.2685,17136.2,11506.2,113794.0000,4.3961,13736.1,20174.5,76332.2
15:40:06.699,118526.0000,4.5770,9242.2,44712.3,110714.0000,4.2725,17027.1,11709.3,113872.0000,4.3956,13749.1,20129.9,76551.6
15:40:08.367,118511.0000,4.5773,9235.7,44765.6,110762.0000,4.2768,16909.9,11932.2,113597.0000,4.3874,13963.3,19411.2,76109.0
15:40:10.035,118517.0000,4.5761,9262.4,44545.5,110830.0000,4.2796,16833.9,12079.1,113393.0000,4.3803,14147.2,18816.9,75441.5
15:40:11.702,118497.0000,4.5780,9218.2,44910.3,110875.0000,4.2813,16787.6,12169.7,113534.0000,4.3815,14116.0,18916.3,75996.3
15:40:13.369,118537.0000,4.5775,9231.1,44803.6,110886.0000,4.2805,16808.6,12128.4,113425.0000,4.3818,14107.9,18942.0,75874.1
15:40:15.036,118522.0000,4.5775,9229.3,44818.8,110866.0000,4.2791,16847.6,12052.4,113390.0000,4.3753,14278.1,18405.9,75277.1
15:40:16.703,118427.0000,4.5780,9217.3,44917.9,110889.0000,4.2818,16772.8,12198.7,113490.0000,4.3822,14098.9,18971.0,76087.7
15:40:18.370,118536.0000,4.5764,9256.9,44591.0,110887.0000,4.2817,16776.0,12192.5,113396.0000,4.3805,14143.1,18829.7,75613.2
15:40:20.037,118524.0000,4.5781,9214.5,44940.8,110913.0000,4.2829,16744.4,12254.8,113465.0000,4.3732,14333.6,18234.7,75430.3
15:40:21.704,118354.0000,4.5780,9218.2,44910.3,110982.0000,4.2851,16682.3,12378.3,113474.0000,4.3813,14121.0,18900.2,76188.8
15:40:23.371,118550.0000,4.5781,9216.4,44925.6,111001.0000,4.2841,16711.8,12319.5,113363.0000,4.3799,14157.2,18785.0,76030.1
15:40:25.038,118539.0000,4.5785,9207.2,45002.0,110963.0000,4.2855,16672.9,12397.2,113447.0000,4.3776,14217.6,18594.5,75993.6
15:40:26.709,117274.0000,4.5649,9532.3,42389.5,110924.0000,4.2842,16707.6,12327.9,113591.0000,4.3761,14256.9,18471.6,73189.0
15:40:28.377,118030.0000,4.5471,9960.1,39202.6,107945.0000,4.1641,20075.1,7265.4,112304.0000,4.3238,15639.4,14673.1,61141.1
15:40:30.046,116523.0000,4.4775,11670.7,28853.6,105997.0000,4.0750,22699.8,4909.4,111966.0000,4.3126,15939.6,13967.7,47730.7
15:40:31.714,109009.0000,4.1872,19411.9,8043.7,106864.0000,4.1236,21254.5,6079.3,110758.0000,4.2729,17017.6,11727.2,25850.3
15:40:33.380,106500.0000,4.1209,21331.7,6009.5,106478.0000,4.1346,20931.8,6380.9,111308.0000,4.3026,16209.1,13366.3,25756.8
15:40:35.047,106000.0000,4.0842,22423.7,5112.0,107499.0000,4.1430,20685.0,6622.8,110821.0000,4.2610,17343.1,11131.2,22866.0
15:40:36.715,102044.0000,3.7409,33657.6,1577.9,81919.0000,3.2166,55444.3,1356.8,-1.0000,0.0000,499999900000.0,0.0,2934.7
15:40:38.381,92845.0000,1.2335,305353.2,520.3,86752.0000,3.3290,50196.3,1404.2,-1.0000,0.0000,499999900000.0,0.0,1924.5
15:40:40.048,18000.0000,0.7083,605926.6,298.8,88439.0000,3.6587,36660.5,1543.3,95010.0000,3.8843,28724.7,2120.9,3962.9
15:40:41.716,69348.0000,2.6312,90030.9,1109.8,92635.0000,3.5069,42578.1,1479.2,104203.0000,4.0334,23965.9,4087.8,6676.8
15:40:43.383,63243.0000,2.5935,92789.1,1094.0,88048.0000,3.5922,39189.8,1515.2,106556.0000,4.1740,19789.7,7589.7,10198.9
15:40:45.050,89492.0000,3.5145,42267.9,1482.4,105474.0000,3.9858,25444.1,3316.3,108016.0000,4.0880,22308.1,5199.6,9998.3
15:40:46.717,74875.0000,3.2860,52160.4,1386.1,69322.0000,2.7040,84913.4,1140.6,101935.0000,2.6077,91741.5,1099.9,3626.6
15:40:48.383,58722.0000,2.5525,95886.0,1076.7,-1.0000,0.0000,499999900000.0,0.0,77190.0000,3.1330,59593.6,1321.5,2398.2
15:40:50.050,71557.0000,2.1548,132045.4,908.9,33404.0000,1.6625,200748.3,701.3,84713.0000,1.3428,272368.2,566.4,2176.6
15:40:51.717,60040.0000,2.7893,79259.2,1176.5,50641.0000,1.9176,160741.0,808.9,98679.0000,3.1070,60926.3,1310.6,3296.0
15:40:53.385,93508.0000,3.5021,42769.8,1477.2,60314.0000,2.5326,97424.0,1068.3,106760.0000,4.1213,21321.5,6018.7,8564.2
15:40:55.053,94496.0000,3.5686,40110.0,1505.3,65350.0000,2.6421,89245.0,1114.5,107820.0000,4.1643,20068.4,7272.8,9892.5
15:40:56.720,84759.0000,3.1449,58986.2,1326.6,65984.0000,2.6105,91531.7,1101.1,105202.0000,4.0981,22007.3,5435.4,7863.1
15:40:58.387,80773.0000,3.1020,61184.7,1308.5,70484.0000,2.6263,90382.9,1107.8,108894.0000,4.1934,19236.0,8265.4,10681.7
15:41:00.054,80877.0000,3.3934,47344.1,1431.4,65942.0000,2.5540,95773.5,1077.3,97053.0000,3.3258,50339.2,1402.9,3911.5
15:41:01.721,92541.0000,3.5240,41886.0,1486.4,69019.0000,2.6327,89922.2,1110.5,85960.0000,3.5841,39503.2,1511.8,4108.7
15:41:03.388,94482.0000,3.6725,36147.6,1549.1,73233.0000,2.8759,73858.8,1213.1,108445.0000,4.2028,18967.6,8616.7,11378.9
15:41:05.055,97526.0000,3.7658,32772.4,1588.5,79065.0000,3.0051,66384.7,1267.6,111824.0000,4.3039,16174.7,13441.5,16297.5
15:41:06.721,105451.0000,4.0626,23074.1,4648.8,95514.0000,3.6950,35316.8,1558.6,112463.0000,4.3198,15744.8,14421.0,20628.4
15:41:08.393,110570.0000,4.3314,15436.3,15172.5,99554.0000,3.8902,28529.3,2176.7,113139.0000,4.3880,13948.3,19460.7,36810.0
15:41:10.060,116552.0000,4.5120,10814.5,33598.1,105201.0000,4.0851,22394.8,5133.8,114222.0000,4.4203,13113.2,22442.3,61174.2
15:41:11.728,117636.0000,4.5483,9930.2,39416.3,107036.0000,4.1493,20500.8,6810.0,114935.0000,4.4425,12549.0,24741.3,70967.6
15:41:13.396,118592.0000,4.5856,9037.1,46438.9,108727.0000,4.1996,19058.4,8496.1,113976.0000,4.4068,13462.1,21139.5,76074.5
15:41:15.064,118253.0000,4.5668,9486.0,42751.1,108963.0000,4.2095,18778.9,8873.8,114201.0000,4.4086,13415.4,21308.9,72933.8
15:41:16.730,118213.0000,4.5673,9473.0,42852.9,109201.0000,4.2160,18596.1,9130.7,114036.0000,4.4016,13594.5,20667.1,72650.7
15:41:18.397,118162.0000,4.5680,9458.2,42969.6,109358.0000,4.2226,18409.6,9401.5,113874.0000,4.4011,13607.4,20621.5,72992.6
15:41:20.064,118281.0000,4.5684,9447.1,43057.3,109356.0000,4.2251,18341.4,9502.7,113792.0000,4.3929,13820.1,19888.6,72448.5
15:41:21.731,118289.0000,4.5684,9447.1,43057.3,109428.0000,4.2260,18315.5,9541.5,113690.0000,4.3822,14098.9,18971.0,71569.7
15:41:23.399,118193.0000,4.5688,9437.0,43137.8,109550.0000,4.2299,18206.4,9706.6,113590.0000,4.3905,13881.1,19683.5,72527.9
15:41:25.066,118267.0000,4.5695,9421.2,43262.6,109535.0000,4.2302,18196.7,9721.5,113643.0000,4.3876,13957.3,19431.0,72415.0
15:41:26.732,118308.0000,4.5695,9420.3,43269.9,109592.0000,4.2312,18170.8,9761.2,113578.0000,4.3814,14119.0,18906.7,71937.8
15:41:28.400,118171.0000,4.5657,9511.9,42548.2,109592.0000,4.2306,18187.0,9736.4,113502.0000,4.3866,13982.4,19348.6,71633.2
15:41:30.066,118324.0000,4.5697,9415.7,43306.7,109504.0000,4.2302,18197.8,9719.8,113589.0000,4.3860,13999.4,19292.8,72319.4
15:41:31.733,118320.0000,4.5703,9402.8,43409.8,109564.0000,4.2300,18204.3,9709.9,113583.0000,4.3842,14044.6,19145.9,72265.6
15:41:33.401,118098.0000,4.5673,9474.9,42838.4,109606.0000,4.2316,18157.9,9781.1,113446.0000,4.3847,14032.6,19184.9,71804.4
15:41:35.069,118357.0000,4.5707,9391.7,43498.4,109565.0000,4.2312,18168.7,9764.5,113513.0000,4.3841,14049.6,19129.6,72392.6
15:41:36.735,118360.0000,4.5710,9385.2,43550.2,109600.0000,4.2316,18157.9,9781.1,113515.0000,4.3832,14071.7,19058.2,72389.6
15:41:38.403,118060.0000,4.5667,9487.8,42736.6,109501.0000,4.2322,18142.8,9804.4,113424.0000,4.3840,14051.6,19123.1,71664.1
15:41:40.070,118366.0000,4.5712,9379.7,43594.6,109563.0000,4.2317,18155.7,9784.5,113557.0000,4.3848,14030.6,19191.5,72570.5
15:41:41.737,118316.0000,4.5715,9372.3,43653.9,109593.0000,4.2317,18156.8,9782.8,113541.0000,4.3838,14056.7,19106.9,72543.6
15:41:43.404,118261.0000,4.5648,9533.2,42382.3,109534.0000,4.2328,18125.6,9831.1,113380.0000,4.3831,14075.8,19045.3,71258.7
15:41:45.070,118371.0000,4.5709,9387.0,43535.4,109629.0000,4.2329,18123.4,9834.5,113508.0000,4.3785,14195.5,18664.1,72033.9
