Timestamp,Sensor 1 Raw Value,Sensor 1 Voltage (V),Sensor 1 Resistance (Ohm),Sensor 1 Force (N),Sensor 2 Raw Value,Sensor 2 Voltage (V),Sensor 2 Resistance (Ohm),Sensor 2 Force (N),Sensor 3 Raw Value,Sensor 3 Voltage (V),Sensor 3 Resistance (Ohm),Sensor 3 Force (N),Total Grip Force (N)
11:30:39.538,19780.0000,0.7592,558575.2,320.2,77548.0000,3.0503,63920.6,1286.6,52686.0000,2.0107,148674.5,848.1,2455.0
11:30:41.206,16017.0000,0.6738,642048.1,284.2,-1.0000,0.0000,499999900000.0,0.0,54030.0000,2.0731,141190.1,874.4,1158.7
11:30:42.873,19020.0000,0.7421,573753.8,313.0,-2.0000,0.0000,499999900000.0,0.0,54342.0000,2.1067,137335.7,888.6,1201.7
11:30:44.543,19705.0000,0.7814,539896.4,329.6,-1.0000,0.0000,499999900000.0,0.0,45314.0000,1.7338,188378.7,731.3,1060.9
11:30:46.211,22127.0000,0.8833,466080.5,372.6,-1.0000,0.0000,499999900000.0,0.0,37045.0000,1.2684,294210.9,535.0,907.6
11:30:47.880,27375.0000,1.1052,352393.7,466.2,-1.0000,0.0000,499999900000.0,0.0,18755.0000,0.5210,859631.2,219.8,686.0
11:30:49.548,30660.0000,1.2000,316660.4,506.2,-2.0000,0.0000,499999900000.0,0.0,-2.0000,0.0000,499999900000.0,0.0,506.2
11:30:51.218,29860.0000,1.1570,332163.9,488.0,-2.0000,0.0000,499999900000.0,0.0,-2.0000,0.0000,499999900000.0,0.0,488.0
11:30:52.886,31876.0000,1.2350,304871.6,520.9,-1.0000,0.0000,499999900000.0,0.0,-2.0000,0.0000,499999900000.0,0.0,520.9
11:30:54.554,33396.0000,1.2756,291967.8,538.1,-2.0000,0.0000,499999900000.0,0.0,-2.0000,0.0000,499999900000.0,0.0,538.1
11:30:56.223,32836.0000,1.2653,295173.3,533.7,-1.0000,0.0000,499999900000.0,0.0,-2.0000,0.0000,499999900000.0,0.0,533.7
11:30:57.890,31960.0000,1.2256,307971.0,517.0,-1.0000,0.0000,499999900000.0,0.0,19353.0000,0.7779,542786.6,328.1,845.1
11:30:59.557,32329.0000,1.2351,304833.6,521.0,-1.0000,0.0000,499999900000.0,0.0,-2.0000,0.0000,499999900000.0,0.0,521.0
11:31:01.227,33212.0000,1.2682,294258.9,534.9,-2.0000,0.0000,499999900000.0,0.0,-2.0000,0.0000,499999900000.0,0.0,534.9
11:31:02.896,32464.0000,1.2453,301519.9,525.3,-1.0000,0.0000,499999900000.0,0.0,-1.0000,0.0000,499999900000.0,0.0,525.3
11:31:04.564,32502.0000,1.2775,291375.5,538.9,-2.0000,0.0000,499999900000.0,0.0,-2.0000,0.0000,499999900000.0,0.0,538.9
11:31:06.232,28375.0000,1.0957,356331.2,462.2,-1.0000,0.0000,499999900000.0,0.0,-2.0000,0.0000,499999900000.0,0.0,462.2
11:31:07.904,28374.0000,1.0988,355048.4,463.5,-2.0000,0.0000,499999900000.0,0.0,-1.0000,0.0000,499999900000.0,0.0,463.5
11:31:09.574,29947.0000,1.2038,315364.1,507.8,-1.0000,0.0000,499999900000.0,0.0,-1.0000,0.0000,499999900000.0,0.0,507.8
11:31:11.245,31119.0000,0.8475,489960.5,357.5,-2.0000,0.0000,499999900000.0,0.0,-1.0000,0.0000,499999900000.0,0.0,357.5
11:31:12.913,1646.0000,0.4588,989719.2,193.5,14124.0000,2.1930,128000.9,925.0,-2.0000,0.0000,499999900000.0,0.0,1118.6
