Timestamp,Sensor 1 Raw Value,Sensor 1 Voltage (V),Sensor 1 Resistance (Ohm),Sensor 1 Force (N),Sensor 2 Raw Value,Sensor 2 Voltage (V),Sensor 2 Resistance (Ohm),Sensor 2 Force (N),Sensor 3 Raw Value,Sensor 3 Voltage (V),Sensor 3 Resistance (Ohm),Sensor 3 Force (N),Total Grip Force (N)
12:02:55.559,61195.0000,2.8017,78466.2,1181.8,72564.0000,2.5625,95118.7,1080.9,66371.0000,2.7874,79378.4,1175.8,3438.4
12:02:56.449,72195.0000,2.7336,82910.2,1153.1,70801.0000,2.5659,94866.2,1082.3,66457.0000,2.8352,76356.7,1195.9,3431.3
12:02:57.333,73432.0000,2.5357,97183.5,1069.6,65676.0000,2.5948,92694.4,1094.5,67206.0000,2.8777,73751.5,1213.8,3377.9
12:02:58.218,74533.0000,2.8461,75679.6,1200.5,73715.0000,2.5940,92754.7,1094.2,67185.0000,2.7924,79058.4,1177.9,3472.5
12:02:59.104,72324.0000,2.9476,69629.9,1243.3,76344.0000,2.5895,93090.9,1092.3,67068.0000,2.7870,79403.2,1175.6,3511.2
12:02:59.988,72185.0000,3.1605,58201.6,1333.1,81859.0000,2.5900,93047.8,1092.5,67083.0000,3.2303,54782.9,1362.6,3788.2
12:03:00.878,83667.0000,3.2633,53220.8,1376.5,84520.0000,2.5825,93610.6,1089.3,66888.0000,3.2677,53012.6,1378.4,3844.2
12:03:01.764,84635.0000,3.4456,45111.9,1453.4,89243.0000,2.7400,82482.3,1155.8,70967.0000,3.4771,43797.1,1466.7,4075.8
12:03:02.649,90059.0000,3.4999,42861.2,1476.3,90649.0000,2.8849,73314.4,1216.9,74721.0000,3.5631,40327.1,1503.0,4196.1
12:03:03.534,92286.0000,3.5857,39441.6,1512.5,92872.0000,3.1440,59031.1,1326.2,81432.0000,3.6821,35793.5,1553.1,4391.8
12:03:04.420,95367.0000,3.5948,39088.2,1516.3,93108.0000,3.1129,60622.9,1313.0,80625.0000,3.7357,33844.1,1575.8,4405.1
12:03:05.305,96756.0000,3.6272,37846.0,1530.0,93947.0000,3.2066,55927.2,1352.6,83053.0000,3.7667,32742.5,1588.8,4471.4
12:03:06.190,97559.0000,3.6753,36041.8,1550.3,95193.0000,3.2170,55423.8,1357.0,83322.0000,3.8678,29270.8,1973.1,4880.4
12:03:07.080,100179.0000,3.7047,34962.8,1562.7,95954.0000,3.3176,50710.2,1399.4,85928.0000,3.9051,28037.5,2324.7,5286.8
12:03:07.967,101144.0000,3.7780,32346.3,1328.5,97851.0000,3.3540,49074.2,1414.8,86871.0000,3.9467,26689.7,2791.0,5534.3
12:03:08.853,102220.0000,3.8267,30662.5,1646.0,99112.0000,3.4435,45199.8,1452.5,89189.0000,3.9878,25382.2,3345.1,6443.6
12:03:09.739,103286.0000,3.9127,27789.8,2403.4,101340.0000,3.5604,40435.1,1501.8,92215.0000,4.0228,24290.7,3902.5,7807.6
12:03:10.624,104193.0000,3.9520,26518.9,2857.2,102358.0000,3.6648,36433.0,1545.9,94920.0000,4.0456,23589.7,4314.7,8717.7
12:03:11.509,104784.0000,3.9724,25869.6,3125.4,102886.0000,3.6981,35205.2,1559.9,95782.0000,4.0466,23560.2,4333.1,9018.3
12:03:12.395,104809.0000,3.9955,25139.9,3460.8,103486.0000,3.7600,32978.3,1586.0,97386.0000,4.0610,23123.2,4615.8,9662.5
12:03:13.283,105181.0000,4.0277,24140.6,3986.9,104319.0000,3.8078,31309.0,1515.0,98624.0000,4.0687,22889.5,4775.3,10277.2
12:03:14.168,105381.0000,4.0450,23609.7,4302.2,104767.0000,3.8431,30102.0,1769.8,99539.0000,4.0497,23467.2,4391.6,10463.7
12:03:15.059,104888.0000,3.9631,26162.7,3001.0,102647.0000,3.7709,32594.3,1287.9,97668.0000,4.0217,24325.3,3883.3,8172.1
12:03:15.944,104164.0000,3.9743,25809.7,3151.5,102935.0000,3.7717,32564.5,1292.7,97690.0000,4.0231,24281.2,3907.8,8352.0
12:03:16.829,104201.0000,3.9708,25919.8,3103.7,102845.0000,3.7680,32694.9,1589.4,97594.0000,4.0187,24417.3,3832.8,8525.9
12:03:17.714,104087.0000,3.9769,25725.4,3188.6,103004.0000,3.7667,32743.8,1588.8,97558.0000,4.0188,24413.7,3834.8,8612.2
12:03:18.600,104090.0000,3.9802,25623.0,3234.5,103088.0000,3.7695,32643.2,1590.0,97632.0000,4.0277,24139.4,3987.6,8812.1
12:03:19.486,104320.0000,3.9864,25425.9,3324.7,103250.0000,3.7711,32588.9,1288.7,97672.0000,4.0239,24256.1,3921.8,8535.2
12:03:20.371,104222.0000,3.9911,25277.9,3394.4,103372.0000,3.7709,32595.7,1287.6,97667.0000,4.0174,24459.1,3810.1,8492.1
12:03:21.257,104052.0000,3.9921,25248.8,3408.2,103396.0000,3.7703,32614.7,1284.6,97653.0000,4.0208,24354.0,3867.5,8560.3
12:03:22.147,104140.0000,3.9933,25208.8,3427.4,103429.0000,3.7760,32416.7,1316.9,97799.0000,4.0182,24432.8,3824.4,8568.6
12:03:23.033,104074.0000,3.9960,25126.6,3467.2,103497.0000,3.7784,32330.1,1331.2,97863.0000,4.0234,24274.0,3911.8,8710.3
12:03:23.919,104207.0000,3.9970,25095.1,3482.6,103523.0000,3.7807,32249.0,1344.9,97923.0000,4.0282,24126.3,3995.1,8822.5
12:03:24.805,104331.0000,3.9973,25084.3,3487.9,103532.0000,3.7818,32212.6,1351.1,97950.0000,4.0246,24237.1,3932.4,8771.4
12:03:25.691,104238.0000,3.9997,25009.4,3524.9,103594.0000,3.7841,32133.0,1364.7,98009.0000,4.0242,24249.0,3925.8,8815.3
12:03:26.576,104228.0000,3.9991,25028.7,3515.3,103578.0000,3.7821,32200.4,1353.1,97959.0000,4.0193,24400.6,3842.0,8710.4
12:03:27.461,104101.0000,3.9972,25089.1,3485.5,103528.0000,3.7801,32270.7,1341.2,97907.0000,4.0196,24389.8,3847.8,8674.6
12:03:28.347,104110.0000,4.0001,24996.1,3531.4,103605.0000,3.7800,32276.1,1340.3,97903.0000,4.0200,24377.9,3854.4,8726.1
12:03:29.233,104120.0000,4.0050,24845.5,3607.3,103730.0000,3.7855,32083.1,1373.3,98046.0000,4.0292,24094.2,4013.4,8994.0
12:03:30.122,104358.0000,4.0094,24707.2,3678.4,103845.0000,3.7863,32054.8,1378.2,98067.0000,4.0246,24234.7,3933.8,8990.4
