Timestamp,Sensor 1 Raw Value,Sensor 1 Voltage (V),Sensor 1 Resistance (Ohm),Sensor 1 Force (N),Sensor 2 Raw Value,Sensor 2 Voltage (V),Sensor 2 Resistance (Ohm),Sensor 2 Force (N),Sensor 3 Raw Value,Sensor 3 Voltage (V),Sensor 3 Resistance (Ohm),Sensor 3 Force (N),Total Grip Force (N)
13:59:54.756,76929.0000,2.9668,68530.5,1251.4,57345.0000,2.1941,127880.5,925.5,84773.0000,3.2756,52644.7,1381.7,3558.6
13:59:56.426,76946.0000,2.9769,67960.0,1255.7,57419.0000,2.2247,124752.2,938.4,85280.0000,3.2937,51805.5,1389.3,3583.4
13:59:58.099,76353.0000,2.9463,69703.2,1242.8,59136.0000,2.2709,120178.2,957.9,83985.0000,3.2958,51707.7,1390.2,3590.9
13:59:59.771,78938.0000,3.0769,62499.3,1297.9,75552.0000,2.9669,68523.9,1251.5,84895.0000,3.2866,52133.6,1386.3,3935.7
14:00:01.442,82812.0000,3.2057,55972.3,1352.2,80400.0000,3.1819,57138.1,1342.2,84532.0000,3.2800,52439.9,1383.5,4077.9
14:00:03.110,85237.0000,3.3045,51307.1,1393.9,86197.0000,3.3478,49351.0,1412.1,87131.0000,3.3809,47889.3,1426.1,4232.1
14:00:04.777,88866.0000,3.4453,45126.6,1453.2,90246.0000,3.5035,42714.8,1477.8,88447.0000,3.4269,45903.2,1445.5,4376.6
14:00:06.445,92216.0000,3.5685,40116.0,1505.2,91995.0000,3.5653,40238.9,1503.9,91731.0000,3.5642,40283.0,1503.4,4512.5
14:00:08.112,97093.0000,3.8058,31377.0,1501.9,94279.0000,3.6467,37109.0,1538.2,93345.0000,3.5884,39339.6,1513.6,4553.8
14:00:09.779,99951.0000,3.8875,28618.6,2151.0,95730.0000,3.7150,34591.1,1567.0,95529.0000,3.6935,35373.4,1558.0,5275.9
14:00:11.446,102642.0000,3.9701,25940.6,3094.7,98448.0000,3.8012,31535.8,1471.9,96361.0000,3.7214,34356.5,1569.7,6136.3
14:00:13.113,102392.0000,3.9543,26446.0,2886.0,98706.0000,3.8071,31333.0,1510.4,96545.0000,3.7219,34341.2,1569.9,5966.3
14:00:14.781,102612.0000,3.9636,26146.7,3007.6,98860.0000,3.8188,30930.7,1590.2,95958.0000,3.7000,35136.0,1560.7,6158.5
